Unidad,Deuda Gasto Común,Deuda Total Incluye Intereses,Último ingreso,Meses deuda
Aguas Mitrinhue,870827,938476,No registra,0.0
Manzana 1 Lote 3,400000,447815,2025-07-17 00:00:00,8.1
Manzana 1 Lote 4,112500,757013,2026-02-07 00:00:00,6.3
Manzana 1 Lote 5,217629,273679,2026-02-19 00:00:00,5.0
Manzana 1 Lote 6,350000,390823,2025-08-11 00:00:00,7.1
Manzana 1 Lote 8,350000,390823,2025-08-12 00:00:00,7.1
Manzana 1 Lote 9,450000,505016,2025-06-06 00:00:00,9.2
Manzana 1 Lote 10,600000,678456,2025-03-10 00:00:00,12.3
Manzana 1 Lote 12,295312,338506,2025-10-01 00:00:00,6.0
Manzana 1 Lote 13,1760750,1981925,2024-01-30 00:00:00,36.0
Manzana 1 Lote 18 - Acopio de residuos domiciliarios,2254102,2513878,No registra,45.7
Manzana 2 Lote 7,231746,289935,2026-02-16 00:00:00,4.0
Manzana 2 Lote 8,807608,916593,2024-11-26 00:00:00,16.7
Manzana 2 Lote 9,50000,148113,2026-02-21 00:00:00,1.3
Manzana 2 Lote 12,920920,1055395,2025-12-30 00:00:00,19.2
Manzana 2 Lote 13,1454422,1853508,2024-12-19 00:00:00,27.1
Manzana 3 Lote 1,758481,865062,2025-05-12 00:00:00,15.7
Manzana 3 Lote 4,650000,736985,2025-04-24 00:00:00,13.4
Manzana 3 Lote 11,1754707,2128167,2023-12-06 00:00:00,29.7
Manzana 3 Lote 13,350000,416479,2025-11-17 00:00:00,7.6
Manzana 3 Lote 14,0,356504,2025-10-21 00:00:00,2.8
Manzana 3 Lote 15 - Estanque de Agua,2254102,2513878,No registra,45.7
Manzana 4 Lote 4,1650178,1824616,2023-04-02 00:00:00,33.2
Manzana 4 Lote 5,1912628,2280217,2023-01-16 00:00:00,37.0
Manzana 4 Lote 6,1357645,1705321,2025-03-07 00:00:00,27.7
Manzana 4 Lote 9,2147092,2432486,No registra,35.6
Manzana 4 Lote 10,1720941,1900876,2024-12-02 00:00:00,34.6
Manzana 4 Lote 13,340000,414194,2025-09-21 00:00:00,6.7
Manzana 4 Lote 17,2597522,4526585,2025-02-21 00:00:00,30.6
Manzana 4 Lote 18,1253738,1435802,2024-03-21 00:00:00,26.1
,29872850,37017126,,
